BRAND,DATE,CONTENT,SENTIMENT,SERVICE,SOURCE_TYPE,MODELS_MENTIONED
Unknown,2026-05-05,👍,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,🤩,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-27,💩,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-17,Oi,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-11,oi,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-06,Vh,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-21,👏👏👏,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-11,Oni,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-04,Sim,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-07,Tem,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-03-21,Top,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Opa,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-12,Ola,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-06,9fg,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,🤣🤣🤣🤣,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-12,Amém,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Lixo,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-09,Vixe,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,🔝🔝🔝🔝,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Uma 💩,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-02,Valor,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-13,FEIÃO,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Será?,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-03-25,Crets,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-11,Preço?,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Kkkkkk,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-26,Bomba.,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-12,240492,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Toptop,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-03-20,Gostei,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-18,Lindos,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-03-25,Cruzes,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-30,Bom dia,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-03,Quanto?,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-11,Acertei,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-18,Caro em,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Preço ?,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Lixo !!,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-15,Enviado,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-11,bom dia,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-03-25,Tô fora,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-26,Eu quero,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,TORO UAI,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Horrível,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-29,Já quero,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-05-03,Sim amém,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-12,Mini vans,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-29,Uma merda,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Maravilha,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-29,Bezerro 😂,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,1.000.000,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Que bosta,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,O preço??,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-01,meu sonho,POSITIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-08,Como é que,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-29,Qual valor,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Sabor toro,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-04,Parte dois,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Com pilha?,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Muito feia,NEGATIVE,Facebook,Unsegmented,['Unknown Model']
Unknown,2026-04-28,Que orivel,NEUTRAL,Facebook,Unsegmented,['Unknown Model']
